CursorX,CursorY,LeftX,RightX,LeftY,RightY,LeftW,LeftH,RighttW,RightH,Origin_left_X,Origin_left_Y,Origin_right_X,Origin_right_Y
386,375,271,234,337,238,30.14962686336267,8.06225774829855,31.0,8.0,249,225,320,229
386,375,267,232,335,236,29.27456233660889,8.06225774829855,31.0,8.0,247,223,318,227
386,375,267,232,336,235,30.26549190084311,8.06225774829855,31.0,9.0,245,223,319,226
386,375,267,230,335,234,30.26549190084311,10.04987562112089,31.016124838541643,10.0,245,220,318,224
386,375,267,230,335,234,31.40063693621516,10.04987562112089,32.01562118716424,10.0,244,220,318,224
386,375,267,230,335,233,31.40063693621516,11.045361017187261,32.01562118716424,11.0,244,219,318,223
370,364,267,230,334,234,31.40063693621516,10.19803902718557,32.01562118716424,10.04987562112089,244,219,317,224
67,143,266,230,334,233,31.40063693621516,10.04987562112089,32.01562118716424,11.0,243,219,317,223
0,83,264,231,332,235,32.38826948140329,11.180339887498947,32.01562118716424,11.0,240,220,315,224
0,55,261,230,329,234,31.40063693621516,10.19803902718557,33.060550509633075,11.0,238,220,311,224
16,7,258,231,326,234,31.40063693621516,11.045361017187261,32.01562118716424,11.0,235,220,309,224
18,0,257,230,325,234,31.256999216175565,10.04987562112089,32.01562118716424,11.045361017187261,234,220,308,224
18,0,251,227,323,233,31.57530680769389,10.04987562112089,32.14031735997639,11.0,233,218,307,222
0,0,250,226,322,231,32.38826948140329,11.180339887498947,33.060550509633075,12.041594578792294,232,217,305,220
0,0,249,227,321,232,32.38826948140329,11.045361017187261,33.060550509633075,12.041594578792294,231,218,304,221
0,0,247,228,319,233,31.40063693621516,11.180339887498947,33.060550509633075,12.041594578792294,230,219,302,222
0,0,246,228,317,233,32.38826948140329,11.045361017187261,33.060550509633075,12.0,228,219,301,222
0,0,246,228,317,233,31.57530680769389,11.045361017187261,33.13608305156178,12.041594578792294,228,219,300,222
0,0,245,229,315,234,31.40063693621516,11.180339887498947,33.060550509633075,11.0,228,220,299,224
0,0,244,229,315,234,31.40063693621516,11.180339887498947,33.060550509633075,11.0,227,220,299,224
0,0,245,230,315,234,31.40063693621516,11.180339887498947,33.13608305156178,12.041594578792294,227,222,299,224
0,0,244,231,315,236,30.413812651491096,10.19803902718557,32.01562118716424,11.0,227,222,299,226
0,0,244,231,315,236,30.26549190084311,10.19803902718557,32.0624390837628,11.0,227,222,299,226
0,0,243,231,315,236,30.413812651491096,11.180339887498947,32.0624390837628,11.045361017187261,226,222,299,226
0,0,244,230,315,235,31.40063693621516,11.045361017187261,33.13608305156178,12.0,226,221,299,224
0,0,244,230,315,235,32.38826948140329,11.045361017187261,33.060550509633075,12.041594578792294,226,221,299,224
0,0,243,231,315,236,30.413812651491096,10.04987562112089,32.01562118716424,11.0,227,222,299,226
0,0,244,231,315,235,31.40063693621516,10.04987562112089,32.0624390837628,11.045361017187261,227,222,299,225
0,0,244,230,315,234,31.40063693621516,11.045361017187261,33.13608305156178,11.045361017187261,227,221,299,224
0,0,244,230,316,234,32.38826948140329,12.041594578792294,33.13608305156178,12.041594578792294,226,221,299,223
0,0,244,230,315,235,31.40063693621516,11.045361017187261,33.060550509633075,11.0,226,222,298,225
0,0,244,230,315,235,31.40063693621516,11.045361017187261,33.060550509633075,10.0,226,221,299,225
0,0,244,230,315,234,31.40063693621516,11.045361017187261,33.13608305156178,13.038404810405298,227,221,299,223
0,0,245,230,315,235,31.40063693621516,12.165525060596437,33.060550509633075,12.041594578792294,227,221,299,224
0,0,244,231,315,235,30.413812651491096,11.045361017187261,32.0624390837628,11.045361017187261,227,222,299,225
0,0,244,230,315,235,31.40063693621516,12.165525060596437,34.132096331752024,12.041594578792294,227,221,299,224
0,0,244,230,316,234,30.26549190084311,11.045361017187261,33.060550509633075,11.0,227,221,299,224
15,4,245,229,316,234,31.57530680769389,11.045361017187261,33.13608305156178,12.041594578792294,228,220,300,223
58,12,245,229,316,233,32.38826948140329,11.180339887498947,34.132096331752024,12.041594578792294,227,220,299,222
71,12,245,229,316,235,31.40063693621516,12.165525060596437,33.060550509633075,12.041594578792294,227,221,299,224
101,14,245,229,316,233,31.40063693621516,11.180339887498947,34.132096331752024,12.0,227,220,299,222
415,14,245,230,316,234,31.40063693621516,11.180339887498947,33.13608305156178,12.041594578792294,227,221,299,223
670,10,245,230,315,235,31.40063693621516,11.180339887498947,33.13608305156178,12.0,227,221,299,224
916,0,245,230,316,234,31.40063693621516,12.165525060596437,33.13608305156178,13.038404810405298,227,221,300,223
